infinitive	emoji	aux	participle	isc	irr	english	level
essere	🧑	e	stato		x	to be	1
avere	🤲	a			x	to have	1
andare	➡️	e			x	to go	1
venire	👋	e	venuto		x	to come	1
fare	🛠️	a	fatto		x	to do; to make	1
dire	💬	a	detto		x	to say	1
stare	🧍	e			x	to stay; to be	1
potere	💪	a			x	can	1
volere	🥺	a			x	to want	1
dovere	☝️	a			x	must	1
sapere	🧠	a			x	to know	1
bere	🥤	a	bevuto		x	to drink	1
piacere	😍	e	piaciuto		x	to be pleasing	1
dare	🎁	a			x	to give	2
uscire	🎉	e			x	to go out	2
mangiare	😋	a				to eat	1
parlare	🗣️	a				to speak	1
amare	❤️	a				to love	1
lavorare	💼	a				to work	1
giocare	🕹️	a				to play	1
studiare	📚	a				to study	1
ascoltare	🎧	a				to listen	1
guardare	👀	a				to watch	1
comprare	🛒	a				to buy	1
cantare	🎤	a				to sing	1
ballare	🕺	a				to dance	1
camminare	🚶	a				to walk	1
aiutare	🆘	a				to help	1
chiamare	📞	a				to call	1
pensare	🤔	a				to think	1
trovare	🎯	a				to find	1
cercare	🔎	a				to look for	1
tornare	🔙	e				to return	1
arrivare	🏁	e				to arrive	1
aspettare	⏳	a				to wait	1
usare	🔧	a				to use	1
abitare	🏡	a				to live (reside)	1
imparare	🎓	a				to learn	1
vedere	👁️	a	visto			to see	1
leggere	📖	a	letto			to read	1
scrivere	📝	a	scritto			to write	1
prendere	✋	a	preso			to take	1
mettere	📥	a	messo			to put	1
correre	🏃	a	corso			to run	1
dormire	😴	a				to sleep	1
sentire	👂	a				to hear; to feel	1
aprire	🔓	a	aperto			to open	1
capire	💡	a		i		to understand	1
finire	🔚	a		i		to finish	1
pagare	💳	a				to pay	2
cucinare	🍳	a				to cook	2
portare	📦	a				to bring; to carry	2
entrare	🚪	e				to enter	2
restare	🛋️	e				to stay	2
volare	🕊️	a				to fly	2
nuotare	🏊	a				to swim	2
saltare	🦘	a				to jump	2
vivere	💓	e	vissuto			to live	2
chiudere	🔒	a	chiuso			to close	2
partire	🛫	e				to leave	2
pulire	🧹	a		i		to clean	2
preferire	👍	a		i		to prefer	2
ridere	😂	a	riso			to laugh	2
perdere	😞	a	perso			to lose	2
vincere	🏆	a	vinto			to win	2
conoscere	🤝	a	conosciuto			to know (people)	2
rispondere	🗨️	a	risposto			to answer	2
chiedere	❓	a	chiesto			to ask	2
cadere	🤕	e				to fall	2
diventare	🦋	e				to become	2
insegnare	🏫	a				to teach	2
ricordare	🧠	a				to remember	2
dimenticare	🤷	a				to forget	2
sperare	🤞	a				to hope	2
sognare	💭	a				to dream	2
viaggiare	🧳	a				to travel	2
guidare	🚗	a				to drive	2
mandare	📤	a				to send	2
ricevere	📬	a				to receive	2
vendere	💵	a				to sell	2
credere	🙏	a				to believe	2
provare	🧪	a				to try	2
toccare	👆	a				to touch	2
lavare	🧼	a				to wash	2
cambiare	🔄	a				to change	2
iniziare	▶️	a				to begin	2
tenere	✊	a			x	to hold	2
disegnare	🖍️	a				to draw	2
costare	💶	e				to cost	2
piovere	🌧️	e				to rain	2
morire	⚰️	e	morto		x	to die	3
nascere	👶	e	nato			to be born	3
piangere	😢	a	pianto			to cry	3
scegliere	☑️	a	scelto		x	to choose	3
decidere	⚖️	a	deciso			to decide	3
sembrare	🎭	e				to seem	3
telefonare	📱	a				to phone	3
costruire	🏗️	a		i		to build	3
spedire	📮	a		i		to send (mail)	3
smettere	🛑	a	smesso			to stop	3
continuare	⏩	a				to continue	3
salire	⬆️	e			x	to go up	3
scendere	⬇️	e	sceso			to go down	3
spingere	👊	a	spinto			to push	3
tirare	🎣	a				to pull	3
tagliare	✂️	a				to cut	3
dipingere	🎨	a	dipinto			to paint	3
nevicare	🌨️	e				to snow	3
