italian	emoji	gender	english	category	level
gatto	🐱		cat	animali	1
cane	🐶	m	dog	animali	1
pesce	🐟	m	fish	animali	1
uccello	🐦		bird	animali	1
cavallo	🐴		horse	animali	1
mucca	🐮		cow	animali	1
maiale	🐷	m	pig	animali	1
coniglio	🐰		rabbit	animali	1
topo	🐭		mouse	animali	1
unicorno	🦄		unicorn	animali	1
pecora	🐑		sheep	animali	2
orso	🐻		bear	animali	2
leone	🦁	m	lion	animali	2
tigre	🐯	f	tiger	animali	2
elefante	🐘	m	elephant	animali	2
scimmia	🐵		monkey	animali	2
serpente	🐍	m	snake	animali	2
rana	🐸		frog	animali	2
ape	🐝	f	bee	animali	2
farfalla	🦋		butterfly	animali	2
ragno	🕷️		spider	animali	2
tartaruga	🐢		turtle	animali	2
pinguino	🐧		penguin	animali	2
gallina	🐔		hen	animali	2
anatra	🦆		duck	animali	2
lupo	🐺		wolf	animali	2
volpe	🦊	f	fox	animali	2
balena	🐳		whale	animali	2
delfino	🐬		dolphin	animali	2
drago	🐉		dragon	animali	2
gufo	🦉		owl	animali	9
squalo	🦈		shark	animali	9
polpo	🐙		octopus	animali	9
granchio	🦀		crab	animali	9
pipistrello	🦇		bat	animali	9
cervo	🦌		deer	animali	9
riccio	🦔		hedgehog	animali	9
lumaca	🐌		snail	animali	9
formica	🐜		ant	animali	9
giraffa	🦒		giraffe	animali	9
zebra	🦓		zebra	animali	9
coccodrillo	🐊		crocodile	animali	9
aquila	🦅		eagle	animali	9
cammello	🐫		camel	animali	9
rinoceronte	🦏	m	rhinoceros	animali	9
ippopotamo	🦛		hippopotamus	animali	9
pappagallo	🦜		parrot	animali	9
scoiattolo	🐿️		squirrel	animali	5
coccinella	🐞		ladybird	animali	5
lucertola	🦎		lizard	animali	5
fenicottero	🦩		flamingo	animali	9
pavone	🦚	m	peacock	animali	9
cigno	🦢		swan	animali	9
bradipo	🦥		sloth	animali	9
scorpione	🦂	m	scorpion	animali	9
grillo	🦗		cricket	animali	9
tacchino	🦃		turkey	animali	6
pane	🍞	m	bread	cibo	1
formaggio	🧀		cheese	cibo	1
uovo	🥚		egg	cibo	1
mela	🍎		apple	cibo	1
banana	🍌		banana	cibo	1
arancia	🍊		orange	cibo	1
pomodoro	🍅		tomato	cibo	1
pizza	🍕		pizza	cibo	1
gelato	🍦		ice cream	cibo	1
torta	🍰		cake	cibo	1
biscotto	🍪		cookie	cibo	1
cioccolato	🍫		chocolate	cibo	1
acqua	💧		water	cibo	1
caffè	☕	m	coffee	cibo	1
latte	🥛	m	milk	cibo	1
